ts,asset,dw,regime
2025-05-26T14:00:00+00:00,BTC,0.08,risk_on
2025-05-26T14:00:00+00:00,ETH,0.08,risk_on
2025-05-26T14:00:00+00:00,XRP,0.08,risk_on
2025-05-26T14:00:00+00:00,SOL,0.08,risk_on
2025-05-26T14:00:00+00:00,DOGE,0.08,risk_on
2025-05-27T02:00:00+00:00,BTC,0.08,risk_off
2025-05-27T02:00:00+00:00,ETH,0.08,risk_off
2025-05-27T02:00:00+00:00,XRP,0.08,risk_off
2025-05-27T02:00:00+00:00,SOL,0.08,risk_off
2025-05-27T02:00:00+00:00,DOGE,0.08,risk_off
2025-05-27T11:00:00+00:00,BNB,0.08,risk_on
2025-05-27T11:00:00+00:00,BTC,0.08,risk_on
2025-05-27T11:00:00+00:00,ETH,0.08,risk_on
2025-05-27T11:00:00+00:00,XRP,0.08,risk_on
2025-05-27T11:00:00+00:00,SOL,0.08,risk_on
2025-05-27T22:00:00+00:00,BNB,0.08,risk_off
2025-05-27T22:00:00+00:00,BTC,0.08,risk_off
2025-05-27T22:00:00+00:00,ETH,0.08,risk_off
2025-05-27T22:00:00+00:00,XRP,0.08,risk_off
2025-05-27T22:00:00+00:00,SOL,0.08,risk_off
2025-06-07T11:00:00+00:00,BTC,0.08,risk_on
2025-06-07T11:00:00+00:00,ETH,0.08,risk_on
2025-06-07T11:00:00+00:00,XRP,0.08,risk_on
2025-06-07T11:00:00+00:00,SOL,0.08,risk_on
2025-06-07T11:00:00+00:00,DOGE,0.08,risk_on
2025-06-10T22:00:00+00:00,DOGE,0.08,risk_on
2025-06-10T22:00:00+00:00,UNI,0.08,risk_on
2025-06-11T08:00:00+00:00,DOGE,0.08,risk_on
2025-06-11T08:00:00+00:00,UNI,0.08,risk_on
2025-06-12T10:00:00+00:00,DOGE,0.08,risk_on
2025-06-12T10:00:00+00:00,TRX,0.08,risk_on
2025-06-12T11:00:00+00:00,DOGE,0.08,risk_on
2025-06-12T11:00:00+00:00,TRX,0.08,risk_on
2025-06-12T12:00:00+00:00,DOGE,0.08,risk_on
2025-06-12T12:00:00+00:00,TRX,0.08,risk_on
2025-06-12T21:00:00+00:00,BTC,0.08,risk_off
2025-06-12T21:00:00+00:00,ETH,0.08,risk_off
2025-06-12T21:00:00+00:00,XRP,0.08,risk_off
2025-06-12T21:00:00+00:00,SOL,0.08,risk_off
2025-06-12T21:00:00+00:00,TRX,0.08,risk_off
2025-06-16T21:00:00+00:00,BTC,0.08,risk_on
2025-06-16T21:00:00+00:00,ETH,0.08,risk_on
2025-06-16T21:00:00+00:00,XRP,0.08,risk_on
2025-06-16T21:00:00+00:00,SOL,0.08,risk_on
2025-06-16T21:00:00+00:00,TRX,0.08,risk_on
2025-06-17T00:00:00+00:00,BTC,0.08,risk_off
2025-06-17T00:00:00+00:00,ETH,0.08,risk_off
2025-06-17T00:00:00+00:00,XRP,0.08,risk_off
2025-06-17T00:00:00+00:00,SOL,0.08,risk_off
2025-06-17T00:00:00+00:00,TRX,0.08,risk_off
2025-06-24T06:00:00+00:00,BTC,0.08,risk_on
2025-06-24T06:00:00+00:00,ETH,0.08,risk_on
2025-06-24T06:00:00+00:00,XRP,0.08,risk_on
2025-06-24T06:00:00+00:00,SOL,0.08,risk_on
2025-06-24T06:00:00+00:00,DOGE,0.08,risk_on
2025-06-25T08:00:00+00:00,BNB,0.08,risk_on
2025-06-25T08:00:00+00:00,DOGE,0.08,risk_on
2025-06-25T16:00:00+00:00,BNB,0.08,risk_on
2025-06-25T16:00:00+00:00,DOGE,0.08,risk_on
2025-06-29T06:00:00+00:00,DOGE,0.08,risk_on
2025-06-29T06:00:00+00:00,TRX,0.08,risk_on
2025-06-29T11:00:00+00:00,DOGE,0.08,risk_on
2025-06-29T11:00:00+00:00,TRX,0.08,risk_on
2025-06-29T12:00:00+00:00,DOGE,0.08,risk_on
2025-06-29T12:00:00+00:00,UNI,0.08,risk_on
