ts,asset,dw,regime
2025-09-18T05:00:00+00:00,BTC,0.08,trend_up
2025-09-18T05:00:00+00:00,ETH,0.08,trend_up
2025-09-18T05:00:00+00:00,XRP,0.08,trend_up
2025-09-18T05:00:00+00:00,SOL,0.08,trend_up
2025-09-18T05:00:00+00:00,DOGE,0.08,trend_up
2025-09-18T10:00:00+00:00,BNB,0.08,trend_up
2025-09-18T10:00:00+00:00,XRP,0.08,trend_up
2025-09-19T18:00:00+00:00,BNB,0.08,chop
2025-09-19T18:00:00+00:00,BTC,0.08,chop
2025-09-19T18:00:00+00:00,ETH,0.08,chop
2025-09-19T18:00:00+00:00,SOL,0.08,chop
2025-09-19T18:00:00+00:00,DOGE,0.08,chop
2025-09-23T06:00:00+00:00,BTC,0.08,downtrend
2025-09-23T06:00:00+00:00,ETH,0.08,downtrend
2025-09-23T06:00:00+00:00,XRP,0.08,downtrend
2025-09-23T06:00:00+00:00,SOL,0.08,downtrend
2025-09-23T06:00:00+00:00,DOGE,0.08,downtrend
2025-09-23T07:00:00+00:00,BTC,0.08,chop
2025-09-23T07:00:00+00:00,ETH,0.08,chop
2025-09-23T07:00:00+00:00,XRP,0.08,chop
2025-09-23T07:00:00+00:00,SOL,0.08,chop
2025-09-23T07:00:00+00:00,DOGE,0.08,chop
2025-09-24T01:00:00+00:00,BNB,0.08,downtrend
2025-09-24T01:00:00+00:00,BTC,0.08,downtrend
2025-09-24T01:00:00+00:00,ETH,0.08,downtrend
2025-09-24T01:00:00+00:00,SOL,0.08,downtrend
2025-09-24T01:00:00+00:00,DOGE,0.08,downtrend
2025-09-24T11:00:00+00:00,BNB,0.08,chop
2025-09-24T11:00:00+00:00,BTC,0.08,chop
2025-09-24T11:00:00+00:00,ETH,0.08,chop
2025-09-24T11:00:00+00:00,SOL,0.08,chop
2025-09-24T11:00:00+00:00,DOGE,0.08,chop
2025-09-25T11:00:00+00:00,BTC,0.08,downtrend
2025-09-25T11:00:00+00:00,ETH,0.08,downtrend
2025-09-25T11:00:00+00:00,XRP,0.08,downtrend
2025-09-25T11:00:00+00:00,SOL,0.08,downtrend
2025-09-25T11:00:00+00:00,DOGE,0.08,downtrend
2025-09-25T18:00:00+00:00,BNB,0.08,downtrend
2025-09-25T18:00:00+00:00,DOGE,0.08,downtrend
